Incident Type,Incident year,Reported Month,Region of Origin,Region of Incident,Country of Origin,Number of Dead,Minimum Estimated Number of Missing,Total Number of Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death,Migration route,Location of death,Information Source,UNSD Geographical Grouping
Incident,2019,April,Western Asia,Mediterranean,Syrian Arab Republic,1,0,1,41,0,0,1,Mixed or unknown,Eastern Mediterranean,"Found on boat off the coast of Dikili, İzmir province, Türkiye",IOM Türkiye,Uncategorized
Incident,2019,April,Sub-Saharan Africa (P),Western Africa,Unknown,1,0,1,0,1,0,1,Vehicle accident / death linked to hazardous transport,,"Bamako, Mali",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,April,Sub-Saharan Africa (P),Western Africa,Unknown,3,0,3,0,1,1,0,Vehicle accident / death linked to hazardous transport,,"Sikasso, Mali",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,April,Eastern Africa,Eastern Africa,Ethiopia,1,0,1,3,0,1,0,Violence,,"Near Village Hotel, Bosaso, Somalia  ",IOM Somalia,Eastern Africa
Incident,2019,April,Eastern Africa (P),Eastern Africa,Unknown,1,0,1,0,1,0,0,Violence,,"Unspecified location close to Bosaso, Somalia",IOM Somalia,Eastern Africa
Incident,2019,April,Central America,North America,Mexico,1,0,1,1,0,1,0,Drowning,US-Mexico border crossing,"Brair Canal, near Barbara Worth Road, Calexico, Imperial County, California, USA","La Crónica, NBC, Imperial County Coroner's Office",Northern America
Incident,2019,April,Sub-Saharan Africa (P),Western Africa,Unknown,11,0,11,1,0,0,0,Violence,,"Koro, Mali",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,April,Sub-Saharan Africa (P),Western Africa,Unknown,11,0,11,0,1,1,0,Violence,,"Koro, Mali",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,April,Sub-Saharan Africa (P),Western Africa,Unknown,3,0,3,0,1,1,1,Vehicle accident / death linked to hazardous transport,,"Bamako, Mali",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,April,Sub-Saharan Africa (P),Western Africa,Unknown,3,0,3,1,0,1,0,Vehicle accident / death linked to hazardous transport,,"Bamako, Mali",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,April,Sub-Saharan Africa (P),Western Africa,Unknown,1,0,1,0,0,0,0,Vehicle accident / death linked to hazardous transport,,"Kandi, Benin",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,April,Northern Africa,Mediterranean,Unknown,,1,1,19,0,0,0,Drowning,Central Mediterranean,"40 miles north of Zuwara, Libya",IOM Libya,Uncategorized
Incident,2019,April,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"David Escobar ranch located on County Road 401, southwest of Falfurrias, Brooks County, Texas, USA","Brooks County Sheriff's Office, New York Times",Northern America
Incident,2019,April,Central America,North America,Honduras,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Isabella ranch located on County Road 111, Brooks County, Texas, USA","Brooks County Sheriff's Office, New York Times",Northern America
Incident,2019,April,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2019,April,Sub-Saharan Africa (P),Western Africa,Unknown,3,0,3,0,0,3,3,Mixed or unknown,Sahara Desert crossing,"Kidal, Mali",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,April,Central America,Central America,Mexico,1,0,1,0,0,1,0,Drowning,US-Mexico border crossing,"Río Bravo, near ""El Patinadero"", Parque Viveros, Nuevo Laredo, Tamaulipas, Mexico","Vox Pópuli, Monitoreo Laredo, Milenio",Central America
Incident,2019,April,Central America,North America,El Salvador,1,0,1,0,0,1,0,Drowning,US-Mexico border crossing,"Río Bravo, near Shelby Park, Eagle Pass, Maverick County, Texas, USA","Zócalo, US Border Patrol",Northern America
Incident,2019,April,Sub-Saharan Africa (P),Western Africa,Unknown,3,0,3,0,0,0,0,Mixed or unknown,Sahara Desert crossing,"Arbinda, Burkina Faso",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,April,Sub-Saharan Africa (P),Western Africa,Unknown,2,0,2,2,0,0,0,Violence,,"Abobo, Côte d'Ivoire",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,April,Sub-Saharan Africa (P),Western Africa,Unknown,1,0,1,0,0,1,0,Sickness / lack of access to adequate healthcare,Sahara Desert crossing,"Dori, Burkina Faso",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,April,Central America,North America,Guatemala,1,0,1,0,0,1,0,Vehicle accident / death linked to hazardous transport,US-Mexico border crossing,"Interstate highway I-10 East at Porfirio Diaz Street, near University of Texas at El Paso, El Paso, El Paso County, Texas, USA","Desaparecidos y sin reclamar en la frontera, El Paso Times, El Paso Times",Northern America
Incident,2019,April,Sub-Saharan Africa (P),Western Africa,Unknown,3,0,3,0,0,1,0,Mixed or unknown,Sahara Desert crossing,"Arbinda, Burkina Faso",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,April,Sub-Saharan Africa (P),Western Africa,Unknown,1,0,1,0,0,1,1,Sickness / lack of access to adequate healthcare,Sahara Desert crossing,"Dori, Burkina Faso",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,April,Southern Asia,Western Asia,Afghanistan,6,0,6,0,0,6,0,"Harsh environmental conditions / lack of adequate shelter, food, water",Iran to Türkiye,"Bodies recovered near Başkale, Van, Türkiye, on the border with Iran",CNN ,Western Asia
Incident,2019,April,South America,Central America,Ecuador,2,11,13,6,0,1,6,Drowning,US-Mexico border crossing,"Río Bravo, near Colombia International Bridge, Nuevo Laredo, Tamaulipas, Mexico","El Telégrafo, Ecuavisa, La Voz Hispana, NY1 Noticias, Ecuadorinmediato",Central America
Incident,2019,April,Western / Southern Asia (P),Mediterranean,Unknown,1,0,1,51,0,1,0,Drowning,Eastern Mediterranean,"Off the coast of Karlovasi, Samos, Greece","Hellenic Coast Guard via IOM Greece, AFP",Uncategorized
Incident,2019,April,Unknown,Mediterranean,Unknown,1,0,1,0,0,0,0,Mixed or unknown,Central Mediterranean,"Near Al Maya, Libya",IOM Libya,Uncategorized
Incident,2019,April,Sub-Saharan Africa (P),Western Africa,Unknown,2,0,2,0,2,0,0,Vehicle accident / death linked to hazardous transport,,"Between Mopti, Mali and Ouagadougou, Burkina Faso",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,April,Sub-Saharan Africa (P),Western Africa,Unknown,6,0,6,0,0,6,1,Violence,Sahara Desert crossing,"Arbinda, Burkina Faso",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,April,Sub-Saharan Africa (P),Western Africa,Unknown,2,0,2,0,1,1,0,Mixed or unknown,,"Abidjan, Côte d'Ivoire",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,April,Sub-Saharan Africa (P),Western Africa,Unknown,1,0,1,0,0,1,0,Mixed or unknown,,"Ouagadougou, Burkina Faso",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,April,Sub-Saharan Africa (P),Western Africa,Unknown,1,0,1,0,1,0,0,Vehicle accident / death linked to hazardous transport,,"Cotonou, Benin",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,April,Sub-Saharan Africa (P),Western Africa,Unknown,1,0,1,0,0,1,1,Sickness / lack of access to adequate healthcare,,"Kumasi, Ghana",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,April,Sub-Saharan Africa (P),Western Africa,Unknown,1,0,1,0,1,0,0,Vehicle accident / death linked to hazardous transport,,"Ouagadougou, Burkina Faso",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,April,Sub-Saharan Africa (P),Western Africa,Unknown,2,0,2,0,2,0,0,Vehicle accident / death linked to hazardous transport,Sahara Desert crossing,"Arbinda, Burkina Faso",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,April,Sub-Saharan Africa (P),Western Africa,Unknown,2,0,2,0,2,0,0,Violence,,"Abobo, Ivory Coast",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,April,Sub-Saharan Africa (P),Western Africa,Unknown,6,0,6,0,0,6,1,Violence,Sahara Desert crossing,"Arbinda, Burkina Faso",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,April,Sub-Saharan Africa (P),Western Africa,Unknown,1,0,1,0,0,1,1,Mixed or unknown,,"Conakry, Guinea",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,April,Sub-Saharan Africa (P),Western Africa,Unknown,2,0,2,0,1,1,0,Mixed or unknown,,"Abidjan, Ivory Coast",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,April,Sub-Saharan Africa (P),Middle Africa,Unknown,1,0,1,0,0,1,0,Mixed or unknown,,"Libreville, Gabon",Mixed Migration Monitoring Mechanism Initiative (4Mi),Middle Africa
Incident,2019,April,Sub-Saharan Africa (P),Western Africa,Unknown,1,0,1,0,0,1,0,Mixed or unknown,,"Ougadougou, Burkina Faso",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,April,Sub-Saharan Africa (P),Western Africa,Unknown,2,0,2,0,0,1,1,Vehicle accident / death linked to hazardous transport,,"Ouangolodougou, Ivory Coast",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,April,Unknown,Southern Asia,Unknown,3,0,3,0,2,1,1,Violence,Iran to Türkiye,"Khoy, Hamadan, Iran",Mixed Migration Monitoring Mechanism Initiative (4Mi),Southern Asia
Incident,2019,April,Central America,Central America,Mexico,,1,1,2,0,1,0,Drowning,US-Mexico border crossing,"Río Bravo, near Ciudad Acuña, Coahuila, Mexico",SuperChannel12,Central America
Incident,2019,April,Latin America / Caribbean (P),North America,Unknown,2,0,2,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Various locations in Brooks County, Texas, USA",Tiempo Digital,Northern America
Incident,2019,April,Sub-Saharan Africa (P),Western Africa,Unknown,1,0,1,0,0,1,0,Vehicle accident / death linked to hazardous transport,,Unspecified location between Côte d'Ivoire and Burkina Faso,Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,April,Sub-Saharan Africa (P),Western Africa,Unknown,1,0,1,0,1,0,0,Sickness / lack of access to adequate healthcare,,Unspecified location in Benin,Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,April,Sub-Saharan Africa (P),Western Africa,Unknown,1,0,1,0,0,1,0,Mixed or unknown,,"Abidjan, Ivory Coast",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,April,Sub-Saharan Africa (P),Western Africa,Unknown,1,0,1,0,0,1,0,Vehicle accident / death linked to hazardous transport,,Unspecified location in Ivory Coast near border with Burkina Faso,Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,April,Sub-Saharan Africa (P),Western Africa,Unknown,1,0,1,0,1,0,0,Sickness / lack of access to adequate healthcare,,Unspecified location in Benin,Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,April,Central America,Central America,Honduras,1,0,1,3,0,1,0,Violence,,"Near Anillo Periférico, Colonia 4 de Febrero, Zona 7, Ciudad de Guatemala, Guatemala (in caravan, died in hospital)","El Proceso, Honduras Tierra Libre",Central America
Incident,2019,April,Sub-Saharan Africa (P),Western Africa,Unknown,1,0,1,0,1,0,0,Vehicle accident / death linked to hazardous transport,,"Cotonou, Benin",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,April,Sub-Saharan Africa (P),Western Africa,Unknown,1,0,1,0,0,1,1,Sickness / lack of access to adequate healthcare,,"Kumasi, Ghana",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,April,Sub-Saharan Africa (P),Western Africa,Unknown,1,0,1,0,1,0,0,Vehicle accident / death linked to hazardous transport,,"Ougadougou, Burkina Faso",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,April,South America,Central America,Ecuador,1,0,1,0,0,1,0,Drowning,US-Mexico border crossing,"Río Bravo, near Nuevo Laredo, Tamaulipas, Mexico","El Mercurio, El Universo",Central America
Incident,2019,December,Eastern Africa,Europe,Ethiopia,1,0,1,0,0,1,0,Vehicle accident / death linked to hazardous transport,English Channel to the UK,"E42 motorway near Vaulx, Belgium","Sudinfo, VivreIci, Insitute of Race Relations",Western Europe
Incident,2019,April,Central America,North America,Mexico,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2019,April,Western / Southern Asia (P),Western Asia,Unknown,4,0,4,0,0,4,0,"Harsh environmental conditions / lack of adequate shelter, food, water",Iran to Türkiye,"Bodies recovered near Başkale, Van, Türkiye, on the border with Iran",NTV,Western Asia
Incident,2019,April,Sub-Saharan Africa (P),Western Africa,Unknown,2,0,2,0,0,2,2,Vehicle accident / death linked to hazardous transport,,"Ouangolodougou, Côte d'Ivoire",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,April,Sub-Saharan Africa (P),Western Africa,Unknown,3,0,3,0,0,3,3,Mixed or unknown,Sahara Desert crossing,"Kidal, Mali",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,April,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2019,April,Sub-Saharan Africa (P),Western Africa,Unknown,1,0,1,0,0,1,0,Sickness / lack of access to adequate healthcare,Sahara Desert crossing,"Timbuktu, Mali",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,April,Eastern Africa (P),Northern Africa,Unknown,2,0,2,0,1,1,2,Mixed or unknown,Sahara Desert crossing,"Unspecified location in the Sahara desert, Sudan",Mixed Migration Monitoring Mechanism Initiative (4Mi),Northern Africa
Incident,2019,April,Eastern Africa (P),Northern Africa,Unknown,1,0,1,0,1,0,1,Mixed or unknown,Sahara Desert crossing,"Unspecified location in the Sahara desert, Sudan",Mixed Migration Monitoring Mechanism Initiative (4Mi),Northern Africa
Incident,2019,April,Eastern Africa (P),Northern Africa,Unknown,1,0,1,0,1,0,0,Mixed or unknown,Sahara Desert crossing,"Unspecified location in the Sahara desert, Sudan",Mixed Migration Monitoring Mechanism Initiative (4Mi),Northern Africa
Incident,2019,April,Eastern Africa (P),Northern Africa,Unknown,1,0,1,0,1,0,0,Mixed or unknown,Sahara Desert crossing,"Aswan, Egypt",Mixed Migration Monitoring Mechanism Initiative (4Mi),Northern Africa
Incident,2019,April,Sub-Saharan Africa (P),Western Africa,Unknown,1,0,1,0,0,1,0,Vehicle accident / death linked to hazardous transport,,"Kandi, Benin",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,April,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2019,April,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2019,April,Central America,North America,Mexico,1,0,1,0,0,1,0,Drowning,US-Mexico border crossing,"All American Canal, Winterhaven, Imperial County, California, USA",Imperial County Coroner's Office,Northern America
Incident,2019,April,Sub-Saharan Africa (P),Western Africa,Unknown,1,0,1,0,1,0,0,Sickness / lack of access to adequate healthcare,,"Ouagadougou, Burkina Faso",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,April,Sub-Saharan Africa (P),Western Africa,Unknown,1,0,1,0,0,1,1,Vehicle accident / death linked to hazardous transport,,"Abidjan, Côte d'Ivoire",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,April,Sub-Saharan Africa (P),Western Africa,Unknown,1,0,1,0,1,0,0,Mixed or unknown,,"Cinkassé, Togo-Burkina Faso border",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,April,Central America,North America,Honduras,1,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
